Date,Sales,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30,DayOfWeek,DayOfMonth,WeekOfYear,DayOfYear,Year,DoW_sin,DoW_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,Days_Since_Start,Trend,is_black_friday,is_christmas,is_new_year,is_holiday,lag_7_14_avg,lag_7_21_avg
2012-07-01,40669,20,170,10.11,,170.0,7,1,7,3,183,0,0,0,0,0,0,136.37974754558206,136.90347949080623,137.4668,136.50501515457668,67.98603307705032,136.4319590643275,6,1,26,183,2012,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.008606996888688009,-0.9999629591162655,,,,,,,,40669.0,,40669.0,,40669.0,,40669.0,,0,0.0,0,0,0,0,,
2012-07-02,35360,12,152,8.78,,152.0,1,0,7,3,184,0,0,0,0,0,0,170.0,136.90347949080623,137.4668,136.50501515457668,67.98603307705032,136.4319590643275,0,2,27,184,2012,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.02581844022713239,-0.9996666485105112,40669.0,,,,,,,38014.5,3754.0299013193808,38014.5,3754.0299013193808,38014.5,3754.0299013193808,38014.5,3754.0299013193808,1,0.0014005602240896359,0,0,0,0,,
2012-07-03,40741,10,185,9.09,,185.0,2,0,7,3,185,0,0,0,0,0,0,152.0,136.90347949080623,137.4668,136.50501515457668,67.98603307705032,136.4319590643275,1,3,27,185,2012,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.04302223300453034,-0.99907411510223,35360.0,40669.0,,,,,,38923.333333333336,3086.1471665060517,38923.333333333336,3086.1471665060517,38923.333333333336,3086.1471665060517,38923.333333333336,3086.1471665060517,2,0.0028011204481792717,0,0,0,0,,
2012-07-04,33871,16,182,10.23,,182.0,3,0,7,3,186,0,0,0,0,0,0,185.0,136.90347949080623,137.4668,136.50501515457668,67.98603307705032,136.4319590643275,2,4,27,186,2012,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586,40741.0,35360.0,40669.0,,,,,37660.25,3568.060292371753,37660.25,3568.060292371753,37660.25,3568.060292371753,37660.25,3568.060292371753,3,0.004201680672268907,0,0,0,0,,
2012-07-05,36880,19,155,9.95,,155.0,4,0,7,3,187,0,0,0,0,0,0,182.0,136.90347949080623,137.4668,136.50501515457668,67.98603307705032,136.4319590643275,3,5,27,187,2012,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,-0.07738647923346322,-0.9970011699250151,33871.0,40741.0,35360.0,,,,,37504.2,3109.670191515492,37504.2,3109.670191515492,37504.2,3109.670191515492,37504.2,3109.670191515492,4,0.0056022408963585435,0,0,0,0,,
2012-07-06,43441,25,175,12.22,,175.0,5,0,7,3,188,0,0,0,0,0,0,155.0,136.90347949080623,137.4668,136.50501515457668,67.98603307705032,136.4319590643275,4,6,27,188,2012,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,36880.0,33871.0,40741.0,,,,,38493.666666666664,3689.214640904846,38493.666666666664,3689.214640904846,38493.666666666664,3689.214640904846,38493.666666666664,3689.214640904846,5,0.0070028011204481795,0,0,0,0,,
2012-07-07,47133,24,261,8.55,,261.0,6,1,7,3,189,0,0,0,0,0,0,175.0,136.90347949080623,137.4668,136.50501515457668,67.98603307705032,136.4319590643275,5,7,27,189,2012,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,-0.11165900712169444,-0.9937465804361781,43441.0,36880.0,33871.0,,,,,39727.857142857145,4690.895807432787,39727.857142857145,4690.895807432787,39727.857142857145,4690.895807432787,39727.857142857145,4690.895807432787,6,0.008403361344537815,0,0,0,0,,
2012-07-08,40165,19,172,11.24,,172.0,7,1,7,3,190,0,0,0,0,0,0,261.0,170.0,137.4668,182.8571428571429,36.6670995645441,136.4319590643275,6,8,27,190,2012,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,47133.0,43441.0,36880.0,40669.0,,,,39655.857142857145,4677.892631964793,39782.5,4345.674828411086,39782.5,4345.674828411086,39782.5,4345.674828411086,7,0.00980392156862745,0,0,0,0,,
2012-07-09,37262,11,125,9.45,,125.0,1,0,7,3,191,0,0,0,0,0,0,172.0,152.0,137.4668,183.14285714285717,36.55784718054648,136.4319590643275,0,9,28,191,2012,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.14579919691987442,-0.9893142039703664,40165.0,47133.0,43441.0,35360.0,,,,39927.57142857143,4435.753218907431,39502.444444444445,4150.922611634404,39502.444444444445,4150.922611634404,39502.444444444445,4150.922611634404,8,0.011204481792717087,0,0,0,0,,
2012-07-10,37718,13,125,7.09,,125.0,2,0,7,3,192,0,0,0,0,0,0,125.0,185.0,137.4668,179.28571428571428,41.48378914593943,136.4319590643275,1,10,28,192,2012,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.16280701293851646,-0.9866579328916572,37262.0,40165.0,47133.0,40741.0,,,,39495.71428571428,4490.1832818674475,39324.0,3954.000590119667,39324.0,3954.000590119667,39324.0,3954.000590119667,9,0.012605042016806723,0,0,0,0,,
