start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-16,2013-07-22,3038.0,9948,5460.0,"[11, 8, 7, 13, 0, 14, 10]","[0, 0, 4, 0, 14, 0, 0]","[0.3, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]","[77, 69, 70, 73, 105, 83, 72]","[64.25178527832031, 46.56914138793945, 74.62110137939453, 79.30774688720703, 104.65576934814453, 82.49220275878906, 60.96058654785156]"
2013-07-17,2013-07-23,3153.0,9753,5975.0,"[2, 0, 0, 18, 2, 7, 12]","[6, 11, 11, 0, 10, 3, 0]","[0.21378659972958178, 0.00971601847368283, 0.0, 0.037467822757315396, 0.0, 0.10769031703733617, 0.0]","[69, 70, 73, 105, 83, 72, 70]","[57.15031433105469, 77.15984344482422, 83.21749877929688, 104.9793930053711, 82.96852111816406, 62.76436996459961, 72.85696411132812]"
2013-07-18,2013-07-24,2690.0,9614,5645.0,"[5, 14, 7, 5, 0, 0, 8]","[7, 0, 9, 7, 9, 6, 1]","[0.11314585187860633, 0.0, 0.0, 0.00441818249822321, 0.3, 0.0, 0.3]","[70, 73, 105, 83, 72, 70, 70]","[80.44963836669922, 87.3116226196289, 107.75145721435547, 83.93104553222656, 63.321468353271484, 72.8888931274414, 77.02810668945312]"
2013-07-19,2013-07-25,3133.0,9582,5985.0,"[0, 17, 6, 11, 0, 12, 11]","[11, 0, 7, 0, 10, 0, 1]","[0.0048277135424323915, 0.0, 0.007238020324623787, 0.00014384979248213068, 0.0, 0.07849763735246379, 0.12641069961911192]","[73, 105, 83, 72, 70, 70, 58]","[79.38578033447266, 104.19937896728516, 82.69630432128906, 65.7352066040039, 73.4629898071289, 76.3179702758789, 75.47337341308594]"
2013-07-20,2013-07-26,2631.0,9624,6185.0,"[14, 10, 11, 6, 19, 9, 0]","[2, 2, 0, 5, 0, 2, 11]","[0.0, 0.3, 8.068394408188913e-05, 0.0, 0.0, 0.0, 0.0]","[105, 83, 72, 70, 70, 58, 74]","[102.6307144165039, 78.42632293701172, 63.9519157409668, 72.21997833251953, 76.45110321044922, 74.05650329589844, 77.02359771728516]"
2013-07-21,2013-07-27,2858.0,9400,5835.0,"[13, 4, 12, 12, 12, 0, 20]","[0, 5, 0, 0, 0, 9, 0]","[0.017890683787212106, 0.0, 0.0002133529145734583, 0.03755226842180705, 0.3, 0.0, 0.0004570036255584814]","[83, 72, 70, 70, 58, 74, 101]","[79.33233642578125, 64.0782699584961, 71.74605560302734, 76.61038208007812, 74.3108901977539, 76.66077423095703, 108.26263427734375]"
2013-07-22,2013-07-28,2257.0,9144,6155.0,"[10, 0, 10, 0, 13, 0, 6]","[0, 10, 2, 10, 0, 14, 7]","[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[72, 70, 70, 58, 74, 101, 58]","[64.43009948730469, 68.32367706298828, 75.30145263671875, 71.62557983398438, 76.80207824707031, 107.35657501220703, 87.01416015625]"
2013-07-23,2013-07-29,2016.0,8802,6475.0,"[0, 1, 0, 13, 14, 0, 0]","[11, 10, 11, 0, 3, 12, 9]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[70, 70, 58, 74, 101, 58, 58]","[75.22340393066406, 76.52481079101562, 75.14703369140625, 77.1160888671875, 106.56736755371094, 87.57024383544922, 61.53200912475586]"
2013-07-24,2013-07-30,2474.0,8864,5565.0,"[13, 12, 13, 15, 13, 0, 10]","[0, 0, 0, 2, 1, 7, 0]","[0.3, 0.0, 0.03850793579622592, 0.0, 0.005028229310105555, 0.0, 0.0]","[70, 58, 74, 101, 58, 58, 55]","[77.4137191772461, 74.99844360351562, 78.44290161132812, 108.06314849853516, 86.16584777832031, 57.36854934692383, 63.966552734375]"
2013-07-25,2013-07-31,2556.0,8963,5665.0,"[8, 11, 9, 5, 5, 6, 5]","[3, 0, 7, 8, 4, 4, 5]","[0.03887384193944385, 0.08386443396226917, 0.04054069105379648, 0.1270728303545942, 0.03625535095187907, 0.21318137046652905, 0.037686834053169936]","[58, 74, 101, 58, 58, 55, 64]","[70.43696594238281, 75.07145690917969, 103.02976989746094, 86.5846176147461, 55.5662727355957, 63.01475143432617, 65.54717254638672]"
2013-07-26,2013-08-01,2512.0,9244,5715.0,"[12, 5, 14, 8, 0, 0, 12]","[0, 11, 0, 1, 9, 9, 0]","[0.3, 0.0, 0.0, 0.0, 0.03806322247656674, 0.17422285270546403, 0.0]","[74, 101, 58, 58, 55, 64, 75]","[72.89539337158203, 106.97846984863281, 84.83363342285156, 56.947967529296875, 63.74589538574219, 65.40071868896484, 73.525634765625]"
2013-07-27,2013-08-02,2183.0,9060,5755.0,"[2, 6, 3, 3, 6, 10, 9]","[9, 7, 6, 6, 4, 2, 5]","[0.10339807898669598, 0.08579634649960038, 0.13196736358652353, 0.10806830887374576, 0.11347081120397168, 0.03984182261061494, 0.17497980744940989]","[101, 58, 58, 55, 64, 75, 72]","[104.47703552246094, 87.29743194580078, 60.013126373291016, 65.80047607421875, 64.30348205566406, 73.06243896484375, 83.86003875732422]"
2013-07-28,2013-08-03,2356.0,8844,5750.0,"[0, 0, 11, 10, 12, 14, 17]","[12, 8, 0, 0, 0, 0, 0]","[0.3, 0.0, 0.0, 0.0, 0.03899893310696553, 0.0, 0.0]","[58, 58, 55, 64, 75, 72, 95]","[86.69390869140625, 60.36567306518555, 64.74199676513672, 64.64791107177734, 71.56036376953125, 84.53462982177734, 109.32294464111328]"
2013-07-29,2013-08-04,2626.0,9101,5750.0,"[10, 0, 0, 12, 0, 18, 11]","[0, 9, 9, 0, 12, 0, 0]","[0.3, 0.0, 0.0, 0.0, 0.0, 0.03878172723064513, 0.0]","[58, 55, 64, 75, 72, 95, 85]","[58.60928726196289, 61.30292510986328, 66.43742370605469, 72.20854187011719, 81.9149169921875, 106.41582489013672, 66.99980926513672]"
2013-07-30,2013-08-05,2143.0,9306,5790.0,"[9, 8, 12, 20, 2, 0, 6]","[1, 2, 0, 0, 14, 8, 2]","[0.3, 0.3, 0.167120761197551, 0.04001285372193422, 0.0, 0.0012882707492038684, 0.0029045785730903236]","[55, 64, 75, 72, 95, 85, 57]","[62.02640151977539, 65.09107971191406, 72.29629516601562, 82.31387329101562, 110.30167388916016, 66.19916534423828, 58.98843002319336]"
