algorithm,mean_profit,std_profit
pso,1045.17,80.68457783244577
de,788.87,57.49063488951918
genetic,452.75,82.25379930434825
simulated_annealing,375.56,92.26237803135145
hill_climbing,341.18,99.5127509417763
random,71.32,42.08512326226454
