,MAE,RMSE,MAPE,NMAE
Naive,130.67857142857147,164.1544884889016,inf,0.4989519550703991
S_Naive,93.64743197278911,138.56550618350352,inf,0.3532520103066744
MA_7,106.93150388726922,133.46055015566256,inf,0.3988832770639265
