Dia,Previsao_Clientes,Juniores,Experts,Promocao
1,141,20,0,0.30000000000000004
2,155,3,20,0.15000000000000002
3,272,19,20,0.0
4,200,11,20,0.0
5,134,1,19,0.0
6,116,14,5,0.0
7,131,0,20,0.0
