Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,41,41,7,0,0.0,697.0,420.0,325.7900000000001
2,50,7,0,1,0.0,126.0,80.0,54.82000000000002
3,82,49,0,7,0.0,882.0,560.0,383.7400000000001
4,64,60,10,0,0.0,1020.0,600.0,491.4000000000001
5,42,0,0,0,0.0,0.0,0.0,0.0
6,31,0,0,0,0.0,0.0,0.0,0.0
7,33,0,0,0,0.0,0.0,0.0,0.0
