store,objective,pr_type,algorithm,mean_profit,std_profit
richmond,O1,coarse,random,-568.5533822437474,265.45000599734004
richmond,O1,coarse,hill_climbing,-3515.7829628598747,1164.8813299417636
richmond,O1,coarse,simulated_annealing,-3675.0779526460537,1180.4853171995892
richmond,O1,coarse,genetic,1129.4039459969958,227.0229000029746
richmond,O1,coarse,pso,1498.2972773343015,107.87953771597138
richmond,O1,coarse,de,1263.3466275739952,80.1041744660866
richmond,O1,fine,random,-568.8057616947823,265.88548301263154
richmond,O1,fine,hill_climbing,-3515.7829628598747,1164.8813299417636
richmond,O1,fine,simulated_annealing,-3685.8425517488226,1178.1217375159715
richmond,O1,fine,genetic,1137.1202726107265,221.57198132339894
richmond,O1,fine,pso,1520.5023456633598,118.89357756614118
richmond,O1,fine,de,1281.3926476809615,78.84916598752265
