Dia,Previsao_Clientes,Juniores,Experts,Promocao
1,76,3,9,0.30000000000000004
2,94,13,3,0.0
3,169,0,20,0.0
4,101,0,15,0.2
5,72,0,10,0.0
6,50,0,0,0.30000000000000004
7,38,0,4,0.0
