Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,76,76,6,6,0.0,1224.0,840.0,469.68000000000006
2,94,94,16,0,0.0,1410.0,960.0,548.7
3,169,169,0,25,0.0,2873.0,2000.0,1074.1100000000001
4,101,101,17,0,0.0,1515.0,1020.0,601.0500000000002
5,72,66,11,0,0.0,990.0,660.0,399.29999999999995
6,50,0,0,0,0.0,0.0,0.0,0.0
7,38,35,0,5,0.0,595.0,475.0,161.6500000000001
