store,objective,pr_type,algorithm,mean_profit,std_profit
baltimore,O3,coarse,random,-0.0911282684010416,0.03732801408885407
baltimore,O3,coarse,hill_climbing,-0.47549975926253907,0.15119617750260958
baltimore,O3,coarse,simulated_annealing,-0.5407901997893994,0.16324610912751725
baltimore,O3,coarse,genetic,0.08396526383534325,0.010781591912634296
baltimore,O3,coarse,pso,0.08472609648195689,0.021184912999856885
baltimore,O3,coarse,de,0.06291293119865964,0.006205000338818165
baltimore,O3,fine,random,-0.090075430592562,0.03693268538158129
baltimore,O3,fine,hill_climbing,-0.47549975926253907,0.15119617750260958
baltimore,O3,fine,simulated_annealing,-0.539617183823814,0.16341142042434445
baltimore,O3,fine,genetic,0.0822857277416644,0.012426244626777435
baltimore,O3,fine,pso,0.08287552779230724,0.022733508456246564
baltimore,O3,fine,de,0.062083044900864734,0.008601761570760792
