algorithm,mean_profit,std_profit
de,3089.487249274939,29.876017450309554
random,2198.3801705619862,3.8527410369217727
genetic,-4249998527.3611813,353553484.90128434
pso,-4749998521.763437,353553502.2187688
hill_climbing,-10000000000.0,0.0
simulated_annealing,-10000000000.0,0.0
