Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,141,141,24,0,0.0,2256.0,1440.0,973.9200000000001
2,155,155,26,0,0.0,2480.0,1560.0,1093.6000000000004
3,272,270,45,0,0.0,4320.0,2700.0,1922.4000000000005
4,200,200,0,29,0.0,3400.0,2320.0,1318.0000000000005
5,134,126,21,0,0.0,2016.0,1260.0,897.1200000000003
6,116,116,20,0,0.0,1856.0,1400.0,585.9200000000001
7,131,131,0,19,0.0,2227.0,1805.0,577.8900000000003
