Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Lucro
1,76,76,13,0,0.0,1010
2,94,94,4,10,0.0,1170
3,169,169,14,13,0.0,2135
4,101,101,5,12,0.0,1225
5,72,72,3,8,0.0,890
6,50,48,8,0,0.0,640
7,38,38,7,0,0.0,500
