objective,algorithm,mean_profit,std_profit,best_profit,worst_profit
O2,hill_climbing,-9499999972.198977,2179449592.9521923,556.0204840941674,-10000000000.0
O2,pso,-9499999997.904049,2179449480.9063773,41.91902889370624,-10000000000.0
O2,de,-9500000003.225473,2179449457.7108235,-64.50947109489789,-10000000000.0
O2,random,-9500000017.154804,2179449396.9942794,-343.09608305025483,-10000000000.0
O2,genetic,-9500000017.154804,2179449396.9942794,-343.09608305025483,-10000000000.0
O2,simulated_annealing,-10000000000.0,0.0,-10000000000.0,-10000000000.0
