,MAE,RMSE,MAPE,NMAE
Naive,36.52380952380953,45.87301325821008,inf,0.49946833079405584
S_Naive,26.539115646258498,39.32931500685423,inf,0.3613038515787312
MA_7,30.05102040816326,37.44302023746076,inf,0.40238463011525394
