Dia,Previsao_Clientes,Juniores,Experts,Promocao
1,41,0,7,0.0
2,50,0,6,0.0
3,82,13,0,0.30000000000000004
4,64,10,0,0.0
5,42,0,5,0.0
6,31,0,0,0.0
7,33,0,4,0.30000000000000004
