Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,141,141,0,21,0.0,2397.0,1680.0,884.79
2,155,155,0,23,0.0,2635.0,1840.0,979.4500000000003
3,272,270,45,0,0.0,4320.0,2700.0,1922.4000000000005
4,200,200,34,0,0.0,3200.0,2040.0,1384.0
5,134,134,23,0,0.0,2144.0,1380.0,914.0799999999999
6,116,116,20,0,0.0,1856.0,1400.0,585.9200000000001
7,131,131,0,19,0.0,2227.0,1805.0,577.8900000000003
