Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,109,14,0,2,0.3,322.0,190.0,51.0
2,88,21,0,3,0.1,399.0,240.0,144.0
3,104,28,0,4,0.0,476.0,320.0,189.0
4,150,21,0,3,0.15,420.0,240.0,142.0
5,136,28,0,4,0.0,476.0,320.0,189.0
6,147,21,0,3,0.1,399.0,240.0,144.0
7,163,0,0,0,0.15,0.0,0.0,0.0
