Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,57,0,0,0,0.0,0.0,0.0,0.0
2,46,0,0,0,0.3,0.0,0.0,0.0
3,50,49,0,7,0.0,882.0,560.0,384.0
4,64,63,0,9,0.0,1134.0,720.0,493.0
5,57,56,0,8,0.0,1008.0,640.0,439.0
6,66,63,0,9,0.0,1134.0,720.0,493.0
7,70,0,0,0,0.3,0.0,0.0,0.0
