Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,65,13,1,1,0.05,209.0,140.0,72.4485
2,78,32,3,2,0.0,490.0,340.0,184.29999999999995
3,117,35,0,5,0.1,630.0,400.0,206.68999999999994
4,95,25,3,1,0.0,371.0,260.0,136.97000000000003
5,75,19,2,1,0.0,287.0,200.0,107.09000000000003
6,58,0,0,0,0.05,0.0,0.0,0.0
7,54,14,0,2,0.05,238.0,190.0,51.92699999999999
