store,objective,pr_type,algorithm,mean_profit,std_profit
baltimore,O1,coarse,random,2032.4598500000004,65.76281373943418
baltimore,O1,coarse,hill_climbing,1819.9897000000005,221.02159039539566
baltimore,O1,coarse,simulated_annealing,1640.6371000000004,247.85134504898295
baltimore,O1,coarse,genetic,2317.3593000000005,74.62715823686443
baltimore,O1,coarse,pso,2437.7810000000004,71.45912452724288
baltimore,O1,coarse,de,2018.2765000000004,62.11753740410191
baltimore,O1,fine,random,1980.4155749999998,66.94530843817122
baltimore,O1,fine,hill_climbing,1818.8555000000003,220.99133785818404
baltimore,O1,fine,simulated_annealing,1632.3977500000005,226.4513939824339
baltimore,O1,fine,genetic,2249.3463250000004,78.57085394092954
baltimore,O1,fine,pso,2439.8795250000007,97.14346452122705
baltimore,O1,fine,de,1991.7942500000008,87.01752938251867
