Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,41,20,1,2,0.0,354.0,220.0,158.7800000000001
2,50,7,0,1,0.0,126.0,80.0,54.82000000000002
3,82,13,1,1,0.1,241.0,140.0,92.08300000000003
4,64,21,0,3,0.1,399.0,240.0,144.23700000000008
5,42,14,0,2,0.0,252.0,160.0,109.64000000000004
6,31,0,0,0,0.0,0.0,0.0,0.0
7,33,0,0,0,0.0,0.0,0.0,0.0
