start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-15,2013-07-21,7013.0,19480,12855.0,"[20, 20, 20, 20, 12, 20, 20]","[0, 7, 9, 10, 20, 0, 9]","[0.0, 0.0, 0.027352545995051013, 0.0, 0.0, 0.034096645738796574, 0.02617395570956155]","[164, 192, 171, 174, 181, 263, 206]","[128.1611785888672, 170.62625122070312, 183.5909423828125, 189.39459228515625, 215.54177856445312, 253.65240478515625, 186.38714599609375]"
2013-07-16,2013-07-22,7335.0,20750,13885.0,"[20, 20, 10, 13, 20, 20, 20]","[8, 0, 20, 20, 20, 0, 7]","[0.026568301154486388, 0.0, 0.035648093739238045, 0.0, 0.0, 0.0, 0.0]","[192, 171, 174, 181, 263, 206, 177]","[177.1309051513672, 181.62501525878906, 200.33154296875, 218.12298583984375, 273.7591552734375, 192.63401794433594, 170.6497802734375]"
2013-07-17,2013-07-23,8038.0,21210,13650.0,"[20, 11, 20, 20, 19, 20, 20]","[0, 17, 13, 20, 11, 6, 0]","[0.024332427657536036, 0.022843440171722077, 0.0, 0.03454605206786781, 0.0, 0.0, 0.02530797946962805]","[171, 174, 181, 263, 206, 177, 173]","[177.15667724609375, 184.50811767578125, 216.0770263671875, 270.52813720703125, 192.23580932617188, 161.42198181152344, 182.0511474609375]"
2013-07-18,2013-07-24,7841.0,21592,14235.0,"[20, 20, 20, 20, 4, 20, 0]","[0, 15, 19, 10, 19, 9, 20]","[0.0, 0.01833770586702031, 0.030042685451280828, 0.02313112715456073, 0.01813528889180948, 0.027069755513515183, 0.0]","[174, 181, 263, 206, 177, 173, 173]","[196.61386108398438, 228.46121215820312, 271.0279846191406, 190.375, 155.93038940429688, 191.11813354492188, 173.69247436523438]"
2013-07-19,2013-07-25,8000.0,22355,14895.0,"[12, 20, 8, 13, 16, 20, 20]","[20, 20, 20, 11, 13, 7, 6]","[0.0, 0.019731732005946134, 0.03375350117516805, 0.0, 0.020290903938341875, 0.0, 0.01835286394199226]","[181, 263, 206, 177, 173, 173, 144]","[210.285888671875, 269.5901794433594, 186.50315856933594, 159.2147979736328, 185.91714477539062, 172.7258758544922, 168.0829620361328]"
2013-07-20,2013-07-26,7762.0,23347,15215.0,"[20, 12, 20, 8, 8, 19, 19]","[20, 15, 7, 19, 20, 9, 12]","[0.0, 0.019134154773088545, 0.0, 0.020741421563330087, 0.02861345859332809, 0.03164696086114109, 0.2554418772946652]","[263, 206, 177, 173, 173, 144, 184]","[262.63543701171875, 177.80899047851562, 170.6309356689453, 183.14410400390625, 189.0834197998047, 185.4848175048828, 199.7281494140625]"
2013-07-21,2013-07-27,7020.0,20897,12540.0,"[18, 8, 12, 9, 13, 18, 16]","[8, 12, 13, 17, 13, 6, 10]","[0.11954878273641614, 0.03225767859645985, 0.02680199537634225, 0.08983761285116018, 0.1712889262139849, 0.21459310948582197, 0.08820872916787509]","[206, 177, 173, 173, 144, 184, 250]","[180.3102264404297, 155.06800842285156, 176.24227905273438, 176.30819702148438, 170.8890838623047, 192.81375122070312, 272.9228210449219]"
2013-07-22,2013-07-28,6323.0,22227,15970.0,"[10, 8, 14, 6, 12, 20, 15]","[15, 20, 12, 20, 17, 20, 20]","[0.0010966048234897358, 0.01963146103687531, 0.029372085043465425, 0.17960391828281533, 0.026758723251960104, 0.03652502285948898, 0.03298039422441363]","[177, 173, 173, 144, 184, 250, 144]","[163.11717224121094, 194.753173828125, 171.21551513671875, 178.377197265625, 191.29214477539062, 265.1171875, 234.4676971435547]"
2013-07-23,2013-07-29,5758.0,21077,15260.0,"[20, 13, 7, 14, 20, 18, 11]","[10, 14, 20, 15, 20, 18, 8]","[0.15312149366853592, 0.0, 0.0, 0.034078121163630674, 0.0, 0.014843803227236631, 0.0]","[173, 173, 144, 184, 250, 144, 144]","[195.10093688964844, 175.1187286376953, 181.92660522460938, 191.13575744628906, 265.6690368652344, 234.62936401367188, 122.38574981689453]"
2013-07-24,2013-07-30,6211.0,20779,14820.0,"[19, 18, 9, 19, 17, 7, 8]","[10, 11, 20, 19, 15, 12, 18]","[0.08861682025082662, 0.024167198634736875, 0.0, 0.03343686397031805, 0.023643534928737314, 0.026678308689672976, 0.033127664018735785]","[173, 144, 184, 250, 144, 144, 137]","[189.5328826904297, 181.35107421875, 196.25711059570312, 271.4244689941406, 207.0841827392578, 126.89325714111328, 174.69741821289062]"
