Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,109,28,0,4,0.05,504.0,380.0,132.0
2,88,21,0,3,0.2,420.0,240.0,120.0
3,104,28,0,4,0.05,504.0,320.0,192.0
4,150,21,0,3,0.2,420.0,240.0,120.0
5,136,21,0,3,0.2,420.0,240.0,120.0
6,147,21,0,3,0.15,420.0,240.0,142.0
7,163,0,0,0,0.25,0.0,0.0,0.0
