algorithm,pr_type,mean_profit
de,coarse,2447.348972797871
de,fine,2507.6231446341903
genetic,coarse,2421.05011741552
genetic,fine,2355.9032985831673
hill_climbing,coarse,-8499999991.5569515
hill_climbing,fine,-8499999991.5569515
pso,coarse,2721.4665657221567
pso,fine,2813.2152112721874
random,coarse,1533.2384859261283
random,fine,1487.0225867348895
simulated_annealing,coarse,-5999999910.709394
simulated_annealing,fine,-5999999930.542198
