,MAE,RMSE,MAPE,NMAE
Naive,56.52210884353741,70.95237309167948,inf,0.5003001216811873
S_Naive,40.901360544217695,60.50582066892856,inf,0.3615149027499612
MA_7,46.45918367346939,57.8665572205322,inf,0.40300651855915975
