store,objective,pr_type,algorithm,mean_profit,std_profit
lancaster,O1,coarse,random,2667.2634500000013,83.09302111216984
lancaster,O1,coarse,hill_climbing,2268.1749500000014,315.8279858285955
lancaster,O1,coarse,simulated_annealing,2084.3448000000017,293.4789132322117
lancaster,O1,coarse,genetic,2921.581400000001,55.24500559362817
lancaster,O1,coarse,pso,2937.315950000001,64.98051132414646
lancaster,O1,coarse,de,2622.1777000000006,62.0180011215292
lancaster,O1,fine,random,2708.0700500000003,82.37541588072554
lancaster,O1,fine,hill_climbing,2272.3270000000016,315.0083649057593
lancaster,O1,fine,simulated_annealing,2153.748025,306.8208919409856
lancaster,O1,fine,genetic,3013.606624999999,31.10996116876156
lancaster,O1,fine,pso,2954.5676750000002,59.156318656225565
lancaster,O1,fine,de,2593.3636000000006,59.450732666763685
