start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-16,2013-07-22,8968.0,26537,18370.0,"[9, 13, 16, 20, 20, 17, 10]","[20, 20, 20, 20, 20, 20, 20]","[0.011049721970037995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[242, 215, 220, 230, 333, 261, 225]","[194.94253540039062, 219.14768981933594, 238.15701293945312, 251.14361572265625, 317.3923034667969, 240.75518798828125, 201.4529266357422]"
2013-07-17,2013-07-23,8274.0,28917,18360.0,"[14, 20, 20, 20, 17, 10, 20]","[20, 17, 20, 20, 20, 20, 12]","[0.0, 0.0, 0.0, 0.0, 0.3, 0.3, 0.0]","[215, 220, 230, 333, 261, 225, 221]","[226.0867156982422, 242.4477081298828, 260.82647705078125, 322.43194580078125, 244.29469299316406, 200.2726287841797, 202.4265594482422]"
2013-07-18,2013-07-24,7842.0,25842,17170.0,"[20, 20, 0, 18, 10, 10, 20]","[17, 20, 20, 20, 20, 20, 14]","[0.0, 0.011147811024693446, 0.0, 0.0, 0.0, 0.0, 0.3]","[220, 230, 333, 261, 225, 221, 221]","[240.04820251464844, 258.7642517089844, 319.8724365234375, 245.8175811767578, 200.56875610351562, 203.34349060058594, 221.6602783203125]"
2013-07-19,2013-07-25,9120.0,26350,18020.0,"[18, 20, 20, 10, 20, 20, 20]","[20, 20, 20, 20, 11, 14, 14]","[0.0, 0.0, 0.0, 0.0, 0.002181011778364146, 0.0, 0.0]","[230, 333, 261, 225, 221, 221, 185]","[248.5146942138672, 315.00408935546875, 244.6280975341797, 201.1175537109375, 201.1725311279297, 220.0882568359375, 220.65855407714844]"
2013-07-20,2013-07-26,8855.0,24990,16845.0,"[20, 20, 20, 20, 13, 20, 15]","[20, 19, 12, 0, 20, 13, 20]","[0.0, 0.0, 0.0, 7.133934830348926e-05, 0.0, 0.0, 0.0]","[333, 261, 225, 221, 221, 185, 234]","[311.5546875, 250.0016632080078, 206.01034545898438, 172.08009338378906, 219.39727783203125, 215.673583984375, 230.52017211914062]"
2013-07-21,2013-07-27,8850.0,26265,18200.0,"[20, 12, 20, 20, 20, 20, 20]","[20, 18, 11, 13, 14, 20, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[261, 225, 221, 221, 185, 234, 319]","[248.95901489257812, 197.7153778076172, 199.61624145507812, 214.76718139648438, 218.1627655029297, 233.1262664794922, 305.0577087402344]"
2013-07-22,2013-07-28,7028.0,22712,16260.0,"[20, 9, 13, 13, 15, 20, 20]","[12, 20, 20, 20, 20, 0, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[225, 221, 221, 185, 234, 319, 185]","[201.96336364746094, 196.73373413085938, 220.03016662597656, 217.64590454101562, 231.18710327148438, 316.1787414550781, 260.76483154296875]"
2013-07-23,2013-07-29,7417.0,26068,18075.0,"[20, 20, 15, 20, 20, 20, 16]","[13, 15, 20, 16, 20, 20, 13]","[0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0]","[221, 221, 185, 234, 319, 185, 185]","[209.1767120361328, 227.65957641601562, 228.4018096923828, 233.33213806152344, 310.8454895019531, 267.03448486328125, 186.68170166015625]"
2013-07-24,2013-07-30,7293.0,25712,17275.0,"[20, 15, 20, 20, 20, 20, 7]","[16, 19, 17, 20, 17, 8, 19]","[0.0, 0.0, 0.0, 0.3, 5.982120376337443e-06, 0.0, 0.0]","[221, 185, 234, 319, 185, 185, 176]","[229.95367431640625, 222.9319610595703, 238.5750274658203, 311.03271484375, 241.38905334472656, 177.46820068359375, 178.67176818847656]"
2013-07-25,2013-07-31,6872.0,23868,17640.0,"[14, 20, 20, 20, 7, 7, 7]","[20, 20, 20, 20, 20, 20, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[185, 234, 319, 185, 185, 176, 203]","[223.19097900390625, 234.1261749267578, 312.07373046875, 258.82501220703125, 184.39161682128906, 184.16978454589844, 183.73684692382812]"
2013-07-26,2013-08-01,7819.0,23681,16495.0,"[20, 20, 20, 20, 0, 20, 14]","[15, 20, 19, 8, 20, 9, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[234, 319, 185, 185, 176, 203, 239]","[223.01246643066406, 296.50787353515625, 250.7572021484375, 180.25918579101562, 175.0234375, 187.8565673828125, 223.88552856445312]"
2013-07-27,2013-08-02,7585.0,23375,16405.0,"[20, 20, 12, 20, 11, 20, 20]","[20, 20, 14, 0, 17, 15, 16]","[0.0, 0.0, 0.0007950391109456147, 0.0, 0.0, 0.0, 0.0]","[319, 185, 185, 176, 203, 239, 230]","[303.4230651855469, 254.44456481933594, 171.6781463623047, 180.2701873779297, 188.1897735595703, 225.34420776367188, 234.44302368164062]"
2013-07-28,2013-08-03,7840.0,24310,17140.0,"[18, 6, 17, 20, 14, 16, 20]","[20, 20, 9, 10, 20, 20, 20]","[0.0051241423100906285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[185, 185, 176, 203, 239, 230, 303]","[250.47315979003906, 178.14642333984375, 167.24264526367188, 187.79481506347656, 224.93800354003906, 235.2461700439453, 321.82403564453125]"
2013-07-29,2013-08-04,8437.0,25708,16625.0,"[3, 5, 18, 14, 20, 20, 18]","[20, 20, 12, 20, 16, 20, 15]","[0.0, 0.0, 0.0, 0.255803764898412, 0.003963835842619419, 0.0, 0.07439824688576344]","[185, 176, 203, 239, 230, 303, 271]","[156.03485107421875, 171.87521362304688, 193.41824340820312, 224.47430419921875, 232.5638427734375, 320.36865234375, 214.99807739257812]"
