algorithm,pr_type,mean_profit
de,coarse,3113.132646046979
de,fine,3115.084259839595
genetic,coarse,-2999998301.374608
genetic,fine,-2999998320.250235
hill_climbing,coarse,-10000000000.0
hill_climbing,fine,-10000000000.0
pso,coarse,-2999997996.849477
pso,fine,-2999998007.8896003
random,coarse,2114.083299590765
random,fine,2088.522489850655
simulated_annealing,coarse,-10000000000.0
simulated_annealing,fine,-10000000000.0
