start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-16,2013-07-22,5360.0,15045,9870.0,"[18, 17, 9, 20, 20, 20, 20]","[0, 0, 11, 3, 9, 2, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[131, 116, 119, 123, 179, 140, 121]","[104.61763763427734, 104.47767639160156, 132.06407165527344, 140.17678833007812, 182.62109375, 137.2315216064453, 118.4546890258789]"
2013-07-17,2013-07-23,5129.0,15925,10245.0,"[18, 0, 20, 20, 0, 20, 15]","[0, 19, 0, 9, 20, 1, 4]","[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[116, 119, 123, 179, 140, 121, 118]","[115.4532241821289, 135.86871337890625, 144.7790069580078, 184.55201721191406, 138.98013305664062, 125.70582580566406, 120.34825134277344]"
2013-07-18,2013-07-24,4783.0,15572,11005.0,"[20, 19, 20, 16, 0, 9, 0]","[2, 4, 9, 6, 18, 10, 19]","[0.0, 0.027661989396558378, 0.0, 0.0, 0.0, 0.0, 0.0]","[119, 123, 179, 140, 121, 118, 118]","[134.81341552734375, 142.84764099121094, 181.24508666992188, 137.6493682861328, 125.69104766845703, 124.56642150878906, 132.33628845214844]"
2013-07-19,2013-07-25,4986.0,15940,10130.0,"[20, 6, 20, 20, 20, 20, 10]","[0, 20, 3, 1, 0, 1, 9]","[0.3, 0.07684595841448559, 0.0, 0.0, 0.0, 0.0, 0.0]","[123, 179, 140, 121, 118, 118, 99]","[137.28665161132812, 179.2747344970703, 140.2685546875, 127.21322631835938, 121.63394165039062, 128.0732879638672, 123.76276397705078]"
2013-07-20,2013-07-26,4745.0,15840,10540.0,"[6, 20, 0, 20, 20, 20, 0]","[20, 3, 17, 0, 1, 0, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2970120270418478]","[179, 140, 121, 118, 118, 99, 125]","[175.7111053466797, 141.86767578125, 118.53036499023438, 118.09408569335938, 124.75880432128906, 120.89159393310547, 132.82725524902344]"
2013-07-21,2013-07-27,4184.0,16452,10655.0,"[10, 11, 14, 13, 13, 12, 16]","[11, 8, 5, 7, 7, 9, 12]","[0.0, 0.2536280321035323, 0.0005006056130277938, 0.0, 0.0, 0.0, 0.3]","[140, 121, 118, 118, 99, 125, 171]","[137.05126953125, 125.80110931396484, 121.85867309570312, 130.98675537109375, 124.8802490234375, 135.9479522705078, 179.3357696533203]"
2013-07-22,2013-07-28,4192.0,14945,10210.0,"[20, 20, 6, 20, 13, 7, 20]","[0, 0, 13, 0, 8, 20, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]","[121, 118, 118, 99, 125, 171, 99]","[123.81085968017578, 117.59054565429688, 129.52857971191406, 124.67823791503906, 134.0928192138672, 180.5422821044922, 141.70968627929688]"
2013-07-23,2013-07-29,3882.0,14471,10040.0,"[18, 20, 9, 7, 9, 20, 16]","[1, 0, 10, 13, 18, 4, 0]","[0.0145743574319351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]","[118, 118, 99, 125, 171, 99, 98]","[119.0881118774414, 126.23503112792969, 122.51025390625, 130.5541229248047, 180.385498046875, 146.4752655029297, 94.73844909667969]"
2013-07-24,2013-07-30,3482.0,13916,10005.0,"[10, 13, 15, 20, 10, 4, 3]","[10, 7, 6, 8, 12, 9, 12]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.2980618851759176, 0.0]","[118, 99, 125, 171, 99, 98, 94]","[127.89451599121094, 124.93743133544922, 132.40234375, 178.62294006347656, 145.7103271484375, 92.33827209472656, 106.68082427978516]"
2013-07-25,2013-07-31,3712.0,13852,9540.0,"[20, 20, 20, 20, 0, 12, 0]","[0, 0, 8, 3, 14, 5, 15]","[0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]","[99, 125, 171, 99, 98, 94, 108]","[119.03343963623047, 131.72567749023438, 179.5038604736328, 143.81488037109375, 96.2437744140625, 105.4122543334961, 109.02559661865234]"
2013-07-26,2013-08-01,3969.0,14360,9470.0,"[9, 6, 9, 0, 16, 17, 20]","[10, 20, 13, 13, 0, 0, 0]","[0.014550092092171221, 0.0, 0.002535957097742728, 0.20340037973574335, 0.3, 0.0, 0.0]","[125, 171, 99, 98, 94, 108, 127]","[123.67615509033203, 179.05223083496094, 145.3809051513672, 93.46988677978516, 94.96546173095703, 101.2856674194336, 108.57945251464844]"
2013-07-27,2013-08-02,3862.0,14634,9725.0,"[18, 10, 7, 9, 9, 6, 4]","[9, 11, 8, 6, 7, 11, 16]","[0.09064253642401465, 0.03377377719420255, 0.13901144244402958, 0.07741157747131247, 0.07891108210963449, 0.15225228447677996, 0.13839820095274727]","[171, 99, 98, 94, 108, 127, 122]","[181.92547607421875, 143.4569854736328, 97.2002182006836, 98.67781066894531, 106.23174285888672, 114.34909057617188, 141.35411071777344]"
2013-07-28,2013-08-03,3922.0,12648,8770.0,"[20, 9, 12, 18, 0, 13, 20]","[2, 5, 4, 0, 16, 8, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[99, 98, 94, 108, 127, 122, 161]","[136.81082153320312, 90.84590911865234, 100.92057800292969, 107.58251953125, 110.68070220947266, 136.9547882080078, 179.18792724609375]"
2013-07-29,2013-08-04,4215.0,13891,9170.0,"[12, 16, 10, 15, 12, 17, 6]","[3, 0, 7, 3, 9, 11, 9]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.011614932691325661, 0.29703489703592534]","[98, 94, 108, 127, 122, 161, 144]","[93.10527801513672, 95.41312408447266, 104.05122375488281, 113.39445495605469, 135.65740966796875, 180.5566864013672, 101.64056396484375]"
2013-07-30,2013-08-05,4002.0,14524,9085.0,"[8, 8, 9, 10, 14, 7, 11]","[7, 8, 8, 11, 14, 8, 3]","[0.17247267629085222, 0.13811835991711655, 0.13885055002785596, 0.0877968963902152, 0.13852878476043354, 0.08812768220375175, 0.16693795898690864]","[94, 108, 127, 122, 161, 144, 96]","[98.85453033447266, 104.6941146850586, 111.47602081298828, 140.4433135986328, 184.4109344482422, 106.4683837890625, 87.57689666748047]"
2013-07-31,2013-08-06,3961.0,13914,8635.0,"[6, 9, 15, 16, 5, 7, 9]","[9, 8, 6, 12, 10, 6, 3]","[0.13847262659849063, 0.08399281590841412, 0.18405950777825622, 0.0853365491610951, 0.18394595289698157, 0.08881672128961915, 0.1383598434475089]","[108, 127, 122, 161, 144, 96, 89]","[100.75468444824219, 108.71759033203125, 135.37783813476562, 179.1753692626953, 101.36679077148438, 82.538330078125, 76.39643859863281]"
2013-08-01,2013-08-07,4376.0,14135,8490.0,"[18, 20, 20, 20, 15, 14, 15]","[0, 2, 9, 0, 0, 0, 0]","[0.3, 0.0, 0.010461522748652871, 0.01294383688083889, 0.0, 0.3, 0.0]","[127, 122, 161, 144, 96, 89, 96]","[111.4317398071289, 134.14186096191406, 181.29998779296875, 107.99089050292969, 87.53236389160156, 82.46218872070312, 88.7459487915039]"
2013-08-02,2013-08-08,3803.0,14175,9035.0,"[15, 13, 12, 9, 9, 11, 10]","[8, 15, 6, 4, 5, 3, 8]","[0.08435707800403887, 0.13917019941811587, 0.16313535639841936, 0.22769854150174465, 0.13861267959336573, 0.02581362807962786, 0.0789870091158003]","[122, 161, 144, 96, 89, 96, 108]","[145.8426513671875, 186.5192413330078, 116.6794662475586, 84.88982391357422, 87.56561279296875, 92.08307647705078, 114.39163208007812]"
2013-08-03,2013-08-09,3850.0,13450,8960.0,"[9, 0, 13, 3, 16, 15, 0]","[17, 15, 1, 9, 0, 3, 19]","[0.0, 0.08948319069526366, 0.3, 0.0, 0.0, 0.0, 0.0]","[161, 144, 96, 89, 96, 108, 124]","[172.6342315673828, 108.30007934570312, 87.76219177246094, 84.63887786865234, 94.62022399902344, 110.96853637695312, 128.8795928955078]"
2013-08-04,2013-08-10,4251.0,12699,8495.0,"[19, 7, 13, 14, 0, 18, 19]","[0, 4, 0, 1, 16, 3, 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[144, 96, 89, 96, 108, 124, 162]","[111.69487762451172, 74.20292663574219, 79.98566436767578, 90.58100128173828, 112.88087463378906, 131.10662841796875, 169.26966857910156]"
2013-08-05,2013-08-11,4042.0,14061,8845.0,"[8, 3, 5, 12, 15, 14, 12]","[5, 10, 8, 5, 5, 10, 9]","[0.18697723003635983, 0.08526259613095795, 0.0852662366936333, 0.07944437395937708, 0.08507835870123741, 0.1445123383121879, 0.07836950159605748]","[96, 89, 96, 108, 124, 162, 126]","[83.6392822265625, 87.24172973632812, 88.84751892089844, 110.15027618408203, 128.19337463378906, 176.2783966064453, 139.8670196533203]"
2013-08-06,2013-08-12,4256.0,13720,9210.0,"[12, 14, 12, 8, 20, 16, 15]","[2, 2, 5, 12, 8, 5, 3]","[0.0, 0.0882452908797807, 0.0, 0.0, 0.0, 0.1086646116469309, 0.009344208575225965]","[89, 96, 108, 124, 162, 126, 93]","[88.54248809814453, 94.44580078125, 108.3413314819336, 131.32769775390625, 174.84683227539062, 138.35069274902344, 106.80843353271484]"
2013-08-07,2013-08-13,4194.0,14242,9070.0,"[8, 10, 10, 12, 9, 9, 14]","[4, 7, 10, 14, 12, 7, 1]","[0.1730660128825312, 0.07919704357442899, 0.08921313731980571, 0.08315367472269394, 0.13834948478202153, 0.08021852726517975, 0.08641991515806467]","[96, 108, 124, 162, 126, 93, 108]","[87.68341064453125, 108.17156982421875, 130.89877319335938, 173.26226806640625, 139.48387145996094, 101.34127044677734, 96.2166748046875]"
2013-08-08,2013-08-14,4368.0,13982,9080.0,"[9, 0, 19, 20, 17, 15, 19]","[8, 18, 8, 1, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0]","[108, 124, 162, 126, 93, 108, 93]","[110.92664337158203, 130.39385986328125, 171.51390075683594, 128.24386596679688, 103.91387176513672, 93.16155242919922, 115.11158752441406]"
2013-08-09,2013-08-15,3594.0,13793,9725.0,"[0, 20, 0, 17, 16, 19, 0]","[18, 7, 20, 0, 0, 0, 17]","[0.0, 0.011474891704218495, 0.0, 0.0, 0.0, 0.2984401480021665, 0.0]","[124, 162, 126, 93, 108, 93, 90]","[130.1591339111328, 172.1361846923828, 136.20266723632812, 104.09039306640625, 96.3125, 114.31654357910156, 118.01615142822266]"
2013-08-10,2013-08-16,3033.0,14251,9750.0,"[6, 15, 9, 9, 9, 7, 20]","[20, 7, 7, 6, 8, 11, 1]","[0.0, 0.0, 0.20691430443392791, 0.1994884392050143, 8.772722058673701e-05, 0.034617970779331146, 0.29988662050374465]","[162, 126, 93, 108, 93, 90, 112]","[173.68333435058594, 138.14236450195312, 103.88338470458984, 95.71709442138672, 113.99547576904297, 119.05154418945312, 127.09414672851562]"
2013-08-11,2013-08-17,3631.0,14146,9505.0,"[11, 8, 9, 7, 9, 13, 14]","[10, 7, 6, 10, 9, 5, 12]","[0.0781767336863957, 0.026666823649669255, 0.20583119384726742, 0.13885271492829548, 0.03550859915950624, 0.138993999755258, 0.08146156522016859]","[126, 93, 108, 93, 90, 112, 164]","[137.5929412841797, 98.85213470458984, 93.87764739990234, 111.06185913085938, 116.12029266357422, 123.02328491210938, 168.78836059570312]"
2013-08-12,2013-08-18,3551.0,12784,9285.0,"[14, 12, 18, 8, 14, 20, 9]","[2, 3, 0, 10, 6, 7, 10]","[0.0, 0.0, 0.0, 0.002284355605961682, 0.0, 0.0, 0.0]","[93, 108, 93, 90, 112, 164, 107]","[97.34809875488281, 93.97696685791016, 110.50785827636719, 115.97241973876953, 126.85319519042969, 171.89527893066406, 124.71394348144531]"
2013-08-13,2013-08-19,3557.0,13575,9135.0,"[8, 8, 11, 14, 17, 12, 5]","[6, 9, 7, 6, 10, 6, 9]","[0.18409210506726253, 0.08838592808185992, 0.019944526285631668, 0.08154643579228321, 0.07258906891155062, 0.07523855472125046, 0.13830281256935395]","[108, 93, 90, 112, 164, 107, 93]","[91.52764892578125, 111.91695404052734, 115.33267974853516, 128.36419677734375, 172.67526245117188, 124.81727600097656, 96.2931137084961]"
2013-08-14,2013-08-20,2370.0,12580,10250.0,"[12, 20, 0, 8, 0, 0, 20]","[6, 0, 20, 18, 20, 14, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[93, 90, 112, 164, 107, 93, 81]","[112.52306365966797, 117.36991119384766, 130.07040405273438, 173.72982788085938, 131.82601928710938, 100.07060241699219, 110.51374816894531]"
2013-08-15,2013-08-21,3646.0,13451,8700.0,"[20, 20, 20, 20, 16, 18, 16]","[0, 0, 7, 0, 0, 0, 0]","[0.0, 0.0, 0.3, 0.0, 0.0, 0.0052044743348095565, 0.0]","[90, 112, 164, 107, 93, 81, 100]","[114.50276184082031, 124.22016906738281, 173.73397827148438, 126.3880386352539, 93.6639175415039, 107.67023468017578, 95.9007797241211]"
2013-08-16,2013-08-22,3629.0,13629,8895.0,"[11, 11, 7, 6, 11, 10, 9]","[8, 15, 11, 8, 5, 5, 6]","[0.17485143685741583, 0.08726999378704975, 0.08368155658139315, 0.20032462057648642, 0.08373030974854848, 0.035118612681650084, 0.08533777026997763]","[112, 164, 107, 93, 81, 100, 95]","[121.42224884033203, 169.36073303222656, 120.55628967285156, 93.33817291259766, 101.16731262207031, 94.0307388305664, 97.57843780517578]"
2013-08-17,2013-08-23,3520.0,13376,8700.0,"[11, 20, 6, 16, 0, 4, 5]","[14, 0, 8, 0, 13, 10, 12]","[8.36935439748809e-05, 0.0, 0.2977885123503228, 0.0, 0.3, 0.0, 0.0]","[164, 107, 93, 81, 100, 95, 104]","[163.58242797851562, 117.14619445800781, 90.16766357421875, 96.25639343261719, 91.43302154541016, 95.75128936767578, 112.96727752685547]"
2013-08-18,2013-08-24,3463.0,12865,8795.0,"[20, 12, 16, 0, 16, 4, 20]","[0, 3, 0, 13, 0, 13, 8]","[0.0, 0.0, 0.0, 0.3, 0.00043992375227289176, 0.0, 0.0]","[107, 93, 81, 100, 95, 104, 159]","[118.6197509765625, 90.72283172607422, 96.83496856689453, 92.89083862304688, 98.58429718017578, 115.40713500976562, 177.9595184326172]"
2013-08-19,2013-08-25,3337.0,13515,9155.0,"[11, 9, 9, 9, 9, 13, 12]","[3, 6, 6, 6, 9, 14, 9]","[0.0716611517419809, 0.16012243113456176, 0.15519291530399143, 0.1294933737195693, 0.08894496519279714, 0.08625920034901588, 0.03285259504073873]","[93, 81, 100, 95, 104, 159, 126]","[89.85258483886719, 95.5655746459961, 94.35363006591797, 96.79589080810547, 115.83226776123047, 174.1733856201172, 133.71481323242188]"
2013-08-20,2013-08-26,3429.0,12801,9425.0,"[0, 20, 20, 19, 20, 0, 16]","[14, 0, 0, 0, 8, 19, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81, 100, 95, 104, 159, 126, 88]","[96.66585540771484, 93.77391052246094, 101.76868438720703, 113.45968627929688, 178.4469451904297, 135.90435791015625, 95.37162017822266]"
2013-08-21,2013-08-27,4290.0,12580,8330.0,"[15, 16, 18, 20, 0, 15, 14]","[0, 0, 0, 8, 19, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100, 95, 104, 159, 126, 88, 78]","[92.30115509033203, 95.97763061523438, 110.71903991699219, 175.58921813964844, 133.82644653320312, 91.31755828857422, 82.60302734375]"
2013-08-22,2013-08-28,4026.0,12274,8270.0,"[16, 19, 20, 20, 12, 14, 17]","[0, 0, 8, 0, 3, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[95, 104, 159, 126, 88, 78, 78]","[98.84490203857422, 112.60308837890625, 175.23289489746094, 129.48794555664062, 92.78250122070312, 85.52776336669922, 100.1202392578125]"
2013-08-23,2013-08-29,3669.0,12659,8550.0,"[9, 20, 20, 3, 0, 17, 16]","[8, 8, 1, 11, 11, 0, 0]","[0.0, 0.00312221381466579, 0.0, 0.0, 0.29706536974008113, 0.0, 0.0005412855660579762]","[104, 159, 126, 88, 78, 78, 90]","[110.12144470214844, 175.81065368652344, 130.31419372558594, 93.4395751953125, 81.45515441894531, 100.01152038574219, 96.59840393066406]"
2013-08-24,2013-08-30,3668.0,12086,7860.0,"[20, 12, 3, 14, 13, 16, 18]","[0, 8, 11, 0, 3, 0, 0]","[0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0]","[159, 126, 88, 78, 78, 90, 111]","[169.55686950683594, 129.30772399902344, 92.96484375, 83.8962631225586, 102.21695709228516, 96.13603210449219, 107.67729187011719]"
2013-08-25,2013-08-31,3596.0,12444,8880.0,"[18, 0, 14, 16, 4, 4, 4]","[3, 13, 0, 1, 10, 12, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.001541980844121702, 0.0]","[126, 88, 78, 78, 90, 111, 177]","[129.9040985107422, 92.15017700195312, 82.72463989257812, 101.77894592285156, 97.29890441894531, 107.19618225097656, 166.6920623779297]"
2013-08-26,2013-09-01,3376.0,13915,8975.0,"[6, 7, 11, 8, 12, 10, 3]","[8, 6, 5, 7, 5, 15, 16]","[0.13887447666752362, 0.08232177609637541, 0.13900613391755973, 0.21590048419487023, 0.2519928470901977, 0.073656421840487, 0.09056981133901958]","[88, 78, 78, 90, 111, 177, 141]","[91.50481414794922, 83.80575561523438, 99.16606140136719, 96.92040252685547, 108.11015319824219, 165.21420288085938, 131.96142578125]"
2013-08-27,2013-09-02,4322.0,12653,8280.0,"[14, 16, 0, 18, 20, 20, 16]","[0, 0, 14, 0, 7, 0, 0]","[0.0, 0.0, 0.07861585972118093, 0.0, 0.0, 0.0, 0.0]","[78, 78, 90, 111, 177, 141, 158]","[82.85505676269531, 95.2342529296875, 97.57035827636719, 105.59564208984375, 168.1327667236328, 129.80831909179688, 94.49046325683594]"
2013-08-28,2013-09-03,3533.0,13481,8520.0,"[9, 5, 10, 15, 12, 9, 7]","[6, 9, 5, 10, 10, 5, 7]","[0.13808506923088978, 0.08554453088959389, 0.13853605695992008, 0.13834518299164622, 0.0845695009464654, 0.2198303714708731, 0.1457968549065627]","[78, 90, 111, 177, 141, 158, 64]","[97.58248138427734, 90.63652801513672, 101.32752227783203, 163.53433227539062, 142.53549194335938, 91.78276824951172, 91.8884048461914]"
2013-08-29,2013-09-04,3056.0,12560,8095.0,"[5, 10, 13, 9, 7, 2, 6]","[8, 5, 12, 10, 6, 11, 6]","[0.17842412475625147, 0.19928061256912022, 0.08421530602826141, 0.13849578061207346, 0.07735672832950478, 0.1575219904797898, 0.07694925649284062]","[90, 111, 177, 141, 158, 64, 57]","[85.04717254638672, 97.40420532226562, 161.6143035888672, 124.8962631225586, 79.22010040283203, 88.12612915039062, 80.47966003417969]"
2013-08-30,2013-09-05,2504.0,12805,8085.0,"[17, 18, 0, 0, 16, 14, 13]","[0, 7, 18, 13, 0, 0, 1]","[0.3, 0.3, 0.00817217732852713, 0.2078271587592642, 0.0, 0.0, 0.0]","[111, 177, 141, 158, 64, 57, 64]","[103.0208969116211, 161.98568725585938, 126.00193786621094, 92.6174545288086, 95.65233612060547, 83.9305648803711, 85.77169799804688]"
2013-08-31,2013-09-06,2495.0,12253,8100.0,"[20, 0, 15, 5, 13, 14, 12]","[6, 19, 0, 9, 0, 0, 4]","[0.0, 0.2036251344954469, 0.3, 0.0, 0.0, 0.3, 0.0]","[177, 141, 158, 64, 57, 64, 82]","[165.3216552734375, 132.38284301757812, 91.65164184570312, 94.39674377441406, 80.48916625976562, 83.9532699584961, 99.01922607421875]"
2013-09-01,2013-09-07,2405.0,11051,7525.0,"[20, 16, 0, 14, 5, 8, 20]","[0, 0, 13, 0, 7, 7, 0]","[0.0, 0.29674020406679646, 0.3, 0.0, 0.0, 0.0, 0.0]","[141, 158, 64, 57, 64, 82, 127]","[128.7083740234375, 93.88743591308594, 95.7782211303711, 84.83981323242188, 81.92745208740234, 99.90210723876953, 162.5777587890625]"
2013-09-02,2013-09-08,1379.0,10684,8175.0,"[11, 19, 0, 13, 16, 13, 20]","[4, 0, 12, 0, 0, 11, 0]","[0.009163461416966195, 0.0, 0.0, 0.3, 0.0, 0.008879635154305371, 0.29836016665079307]","[158, 64, 57, 64, 82, 127, 94]","[94.03228759765625, 96.01593780517578, 86.30472564697266, 81.5779800415039, 97.50130462646484, 155.00973510742188, 119.68891143798828]"
