Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Lucro
1,141,120,20,0,0.023067198784089187,1720
2,155,72,12,0,0.0,960
3,272,124,16,4,0.013174464492761662,1744
4,200,146,1,20,0.0,1780
5,134,128,19,2,0.0,1690
6,116,12,2,0,0.0,160
7,131,42,0,6,0.0,510
