store,objective,pr_type,algorithm,mean_profit,std_profit
baltimore,O2,coarse,random,620.0653953296548,274.2195342761403
baltimore,O2,coarse,hill_climbing,-500001642.9379848,2179449094.854814
baltimore,O2,coarse,simulated_annealing,-2006.963860075737,1211.8500146715794
baltimore,O2,coarse,genetic,1946.6254800884653,139.07588868106248
baltimore,O2,coarse,pso,2028.6518693161634,157.52314982411767
baltimore,O2,coarse,de,1717.0446631302807,88.58671645724478
baltimore,O2,fine,random,622.3071875197043,278.9458103580939
baltimore,O2,fine,hill_climbing,-500001642.9379848,2179449094.854814
baltimore,O2,fine,simulated_annealing,-2037.7412374895769,1227.9608270022675
baltimore,O2,fine,genetic,1945.8939781326874,110.49851826330828
baltimore,O2,fine,pso,2024.082930618052,144.94051590236822
baltimore,O2,fine,de,1684.3715365496741,67.05123406284704
