Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Lucro
1,64,63,7,3,0.0,815
2,40,35,0,5,0.0,425
3,42,42,7,0,0.0,560
4,46,46,4,5,0.0,550
5,42,42,8,0,0.0,550
6,58,58,10,1,0.0,750
7,82,82,10,4,0.0,1050
