Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,93,0,0,0,0.0,0.0,0.0,0.0
2,77,56,0,8,0.0,952.0,640.0,379.0
3,87,0,0,0,0.3,0.0,0.0,0.0
4,113,0,0,0,0.0,0.0,0.0,0.0
5,99,0,0,0,0.05,0.0,0.0,0.0
6,107,35,0,5,0.0,595.0,400.0,237.0
7,119,0,0,0,0.0,0.0,0.0,0.0
