,MAE,RMSE,MAPE,NMAE
Naive,68.76530612244898,86.25909532080351,inf,0.5006606949665914
S_Naive,49.598639455782305,73.23045950208382,inf,0.3624299938303561
MA_7,56.46987366375122,70.25296466694661,inf,0.40332877281074947
