Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,141,141,5,16,0.0,2368.0,1580.0,953.7600000000002
2,155,155,11,13,0.0,2571.0,1700.0,1050.9700000000003
3,272,269,25,17,0.0,4423.0,2860.0,1872.6100000000006
4,200,200,10,20,0.0,3340.0,2200.0,1373.8000000000002
5,134,134,6,14,0.0,2242.0,1480.0,918.94
6,116,116,9,9,0.0,1919.0,1485.0,568.3299999999999
7,131,131,16,5,0.0,2131.0,1595.0,685.1700000000001
