start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-15,2013-07-21,7221.0,22294,14800.0,"[20, 0, 7, 20, 20, 20, 19]","[1, 20, 20, 10, 14, 20, 10]","[0.03938228854903447, 0.0, 0.0, 0.029572895727784765, 0.0, 0.15812135471817867, 0.020809009633053085]","[164, 192, 171, 174, 181, 263, 206]","[128.1611785888672, 170.62625122070312, 183.5909423828125, 189.39459228515625, 215.54177856445312, 253.65240478515625, 186.38714599609375]"
2013-07-16,2013-07-22,6585.0,21535,14040.0,"[20, 20, 10, 13, 20, 9, 20]","[8, 9, 20, 20, 0, 20, 6]","[0.0, 0.026519090252217797, 0.027868778394393008, 0.0, 0.0, 0.3, 0.0]","[192, 171, 174, 181, 263, 206, 177]","[177.1309051513672, 181.62501525878906, 200.33154296875, 218.12298583984375, 273.7591552734375, 192.63401794433594, 170.6497802734375]"
2013-07-17,2013-07-23,7848.0,23045,14525.0,"[20, 20, 13, 20, 20, 20, 19]","[8, 9, 20, 20, 10, 0, 9]","[0.0, 0.017541084202125634, 0.0, 0.036582662861119004, 0.0, 0.0, 0.3]","[171, 174, 181, 263, 206, 177, 173]","[177.15667724609375, 184.50811767578125, 216.0770263671875, 270.52813720703125, 192.23580932617188, 161.42198181152344, 182.0511474609375]"
2013-07-18,2013-07-24,7270.0,23921,16015.0,"[9, 15, 20, 8, 5, 8, 7]","[20, 20, 20, 20, 18, 20, 19]","[0.0, 0.021049974653791662, 0.0, 0.03207629850457233, 0.018311166636444914, 0.026508193263752013, 0.3]","[174, 181, 263, 206, 177, 173, 173]","[196.61386108398438, 228.46121215820312, 271.0279846191406, 190.375, 155.93038940429688, 191.11813354492188, 173.69247436523438]"
2013-07-19,2013-07-25,7521.0,22223,15235.0,"[20, 19, 20, 3, 8, 5, 6]","[13, 20, 9, 20, 20, 20, 19]","[0.018236938118302466, 0.03387339041625879, 0.0, 0.0, 0.02791263688937203, 0.0, 0.03350244605965628]","[181, 263, 206, 177, 173, 173, 144]","[210.285888671875, 269.5901794433594, 186.50315856933594, 159.2147979736328, 185.91714477539062, 172.7258758544922, 168.0829620361328]"
2013-07-20,2013-07-26,7448.0,23813,14665.0,"[19, 16, 11, 13, 17, 12, 11]","[15, 11, 14, 15, 12, 14, 19]","[0.11228366960297219, 0.08778647872580313, 0.2052329609160818, 0.03622774819177082, 0.08719616279973828, 0.2149948615852948, 0.08880423618128361]","[263, 206, 177, 173, 173, 144, 184]","[262.63543701171875, 177.80899047851562, 170.6309356689453, 183.14410400390625, 189.0834197998047, 185.4848175048828, 199.7281494140625]"
2013-07-21,2013-07-27,7742.0,21621,14220.0,"[20, 20, 20, 6, 19, 0, 20]","[8, 5, 8, 20, 8, 20, 20]","[0.0272529684891558, 0.027685622028340615, 0.0, 0.02822874103276842, 0.002738670280473386, 0.08708018884037529, 0.03193217991937911]","[206, 177, 173, 173, 144, 184, 250]","[180.3102264404297, 155.06800842285156, 176.24227905273438, 176.30819702148438, 170.8890838623047, 192.81375122070312, 272.9228210449219]"
2013-07-22,2013-07-28,5639.0,23191,15780.0,"[5, 20, 20, 19, 15, 20, 16]","[19, 10, 7, 9, 14, 20, 20]","[0.0, 0.1715969953526394, 0.02150823903494402, 0.0202905844784783, 0.0, 0.3, 0.0]","[177, 173, 173, 144, 184, 250, 144]","[163.11717224121094, 194.753173828125, 171.21551513671875, 178.377197265625, 191.29214477539062, 265.1171875, 234.4676971435547]"
2013-07-23,2013-07-29,5733.0,22706,15215.0,"[16, 19, 16, 8, 20, 20, 10]","[14, 9, 12, 20, 20, 16, 9]","[0.0, 0.3, 0.0, 0.021197658994728447, 0.02448190651280461, 0.3, 0.015238556448347049]","[173, 173, 144, 184, 250, 144, 144]","[195.10093688964844, 175.1187286376953, 181.92660522460938, 191.13575744628906, 265.6690368652344, 234.62936401367188, 122.38574981689453]"
2013-07-24,2013-07-30,5687.0,20936,14720.0,"[8, 20, 20, 20, 20, 19, 20]","[20, 9, 11, 20, 12, 2, 8]","[0.0, 0.01911959219711548, 0.0, 0.032209723310637706, 0.0, 0.0, 0.3]","[173, 144, 184, 250, 144, 144, 137]","[189.5328826904297, 181.35107421875, 196.25711059570312, 271.4244689941406, 207.0841827392578, 126.89325714111328, 174.69741821289062]"
