Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Lucro
1,230,230,20,16,0.0,2930
2,144,141,20,3,0.0,1855
3,154,154,14,11,0.0,1950
4,168,168,20,8,0.0,2160
5,154,154,15,11,0.0,1940
6,211,211,20,14,0.0,2685
7,298,260,20,20,0.0,3300
