algorithm,pr_type,mean_profit
de,coarse,1635.7465497269682
de,fine,1660.7661474843364
genetic,coarse,1963.3797613171166
genetic,fine,1969.7703900411573
hill_climbing,coarse,-2500000810.731698
hill_climbing,fine,-2500000810.731698
pso,coarse,2045.1135417498467
pso,fine,2055.0051466478662
random,coarse,681.120585389762
random,fine,681.3984237169774
simulated_annealing,coarse,-500001426.3562032
simulated_annealing,fine,-500001425.21461284
