Dia,Previsao_Clientes,Juniores,Experts,Promocao
1,141,17,6,0.0
2,155,0,20,0.0
3,272,20,12,0.0
4,200,20,12,0.0
5,134,20,0,0.0
6,116,0,1,0.30000000000000004
7,131,9,10,0.0
