Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,57,55,8,1,0.0,942.0,655.0,353.0
2,46,44,5,2,0.0,762.0,460.0,356.0
3,50,49,7,1,0.0,840.0,500.0,399.0
4,64,64,6,4,0.0,1116.0,680.0,514.0
5,57,55,8,1,0.0,942.0,560.0,448.0
6,66,66,4,6,0.0,1164.0,720.0,526.0
7,70,70,12,0,0.0,1190.0,840.0,433.0
