Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,192,0,0,0,0.3,0.0,0.0,0.0
2,156,0,0,0,0.3,0.0,0.0,0.0
3,195,35,0,5,0.0,595.0,400.0,237.0
4,213,0,0,0,0.0,0.0,0.0,0.0
5,178,0,0,0,0.3,0.0,0.0,0.0
6,197,14,0,2,0.0,238.0,160.0,95.0
7,204,0,0,0,0.3,0.0,0.0,0.0
