Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Unidades,Custo_RH,Lucro
1,109,108,11,6,0.05,1812.0,1340.0,501.0
2,88,88,2,11,0.05,1562.0,1000.0,588.0
3,104,104,1,14,0.1,1958.0,1180.0,705.0
4,150,150,4,18,0.05,2652.0,1680.0,1015.0
5,136,136,9,12,0.05,2344.0,1500.0,883.0
6,147,144,3,18,0.05,2556.0,1620.0,978.0
7,163,163,5,19,0.05,2874.0,2155.0,767.0
