start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,3861.0,14206,7885.0,"[13, 17, 15, 15, 13, 12, 2]","[16, 9, 0, 0, 3, 0, 3]","[0.16576262586196935, 0.11015243448189556, 0.25534701612503424, 0.2461706522745448, 0.25914998945392304, 0.12540488545621348, 0.020273741160317903]","[193, 220, 238, 283, 309, 372, 269]","[158.74838256835938, 158.27743530273438, 180.1422576904297, 232.39796447753906, 219.26724243164062, 267.72442626953125, 259.99432373046875]"
2013-07-02,2013-07-08,2958.0,9936,5850.0,"[14, 12, 5, 20, 0, 15, 2]","[0, 4, 12, 0, 4, 0, 0]","[0.1288167370666315, 0.3, 0.0, 0.0, 0.0, 0.0, 0.20599464695619754]","[220, 238, 283, 309, 372, 269, 193]","[163.40391540527344, 184.4068145751953, 229.49322509765625, 224.66937255859375, 288.7317199707031, 251.53378295898438, 165.92835998535156]"
2013-07-03,2013-07-09,3384.0,9937,6260.0,"[0, 20, 0, 15, 12, 0, 19]","[0, 2, 14, 3, 5, 2, 0]","[0.2411838239357161, 0.0008794038417042349, 0.001104888149170676, 0.08225890171561102, 0.0004117279817541957, 0.0, 0.0]","[238, 283, 309, 372, 269, 193, 197]","[206.42129516601562, 246.798095703125, 262.8395690917969, 313.5329895019531, 249.24642944335938, 184.4021453857422, 179.17469787597656]"
2013-07-04,2013-07-10,3704.0,9996,6120.0,"[20, 20, 0, 20, 10, 0, 0]","[0, 8, 0, 16, 0, 0, 0]","[0.0, 0.0, 0.2965223661488303, 0.028492231502044333, 0.0, 0.0, 0.0]","[283, 309, 372, 269, 193, 197, 206]","[253.54953002929688, 262.81500244140625, 313.771240234375, 249.3964385986328, 183.49795532226562, 187.2111358642578, 192.0905303955078]"
2013-07-05,2013-07-11,3021.0,9821,6455.0,"[6, 7, 6, 2, 10, 0, 8]","[16, 2, 5, 0, 12, 9, 4]","[0.0, 0.02848715640465251, 0.08099995173386319, 0.3, 0.0, 0.0, 0.032155509178759985]","[309, 372, 269, 193, 197, 206, 202]","[266.0483093261719, 317.42303466796875, 255.0523223876953, 186.3726348876953, 185.6728515625, 197.76080322265625, 201.49847412109375]"
2013-07-06,2013-07-12,3357.0,9925,6195.0,"[13, 0, 8, 18, 13, 0, 14]","[1, 1, 16, 7, 0, 1, 0]","[0.12237324490440132, 0.18084427582256163, 0.03629587361099844, 0.0, 0.0, 0.012030270375102447, 0.032182109435818576]","[372, 269, 193, 197, 206, 202, 238]","[310.8070983886719, 257.41485595703125, 195.11019897460938, 193.8295440673828, 188.778076171875, 198.72142028808594, 239.6084442138672]"
2013-07-07,2013-07-13,3552.0,9942,6200.0,"[13, 0, 6, 20, 20, 0, 6]","[0, 2, 14, 0, 12, 0, 0]","[0.0, 0.07626329396173945, 0.010008457031890872, 0.0, 0.004620353388998693, 0.3, 0.0007425529462630057]","[269, 193, 197, 206, 202, 238, 318]","[264.35687255859375, 183.59361267089844, 180.41717529296875, 200.0541229248047, 208.43536376953125, 247.92750549316406, 297.2549743652344]"
2013-07-08,2013-07-14,3922.0,15758,9570.0,"[0, 8, 12, 1, 3, 16, 17]","[14, 8, 7, 6, 14, 3, 17]","[0.24456188057822292, 0.07342067701660727, 0.05411194605903142, 0.26268278054219835, 0.13048116408197916, 0.29765253402263186, 0.1390468511784809]","[193, 197, 206, 202, 238, 318, 247]","[180.73898315429688, 180.87059020996094, 194.56478881835938, 206.7851104736328, 245.2057647705078, 301.1432800292969, 253.481201171875]"
2013-07-09,2013-07-15,4760.0,18028,10990.0,"[19, 18, 15, 10, 6, 12, 14]","[0, 2, 10, 7, 9, 11, 19]","[0.15994317040747616, 0.20210585607989254, 0.011469740075073552, 0.28883356809041344, 0.0841577239133512, 0.29248986753416734, 0.014651701497573121]","[197, 206, 202, 238, 318, 247, 206]","[183.3319549560547, 199.03915405273438, 208.37808227539062, 248.1054229736328, 297.2011413574219, 249.99635314941406, 180.19752502441406]"
2013-07-10,2013-07-16,3336.0,9970,6240.0,"[0, 9, 19, 12, 8, 1, 10]","[0, 11, 6, 13, 0, 2, 0]","[0.1708126056785855, 0.02913350426925586, 0.0020966000485339088, 0.00033739858990031147, 0.19700078735172427, 0.06042322655530617, 0.0]","[206, 202, 238, 318, 247, 206, 242]","[200.8513946533203, 212.21133422851562, 247.9248046875, 298.76416015625, 250.3433380126953, 182.8767852783203, 185.05906677246094]"
2013-07-11,2013-07-17,2901.0,9992,6590.0,"[0, 4, 20, 11, 2, 0, 9]","[0, 3, 20, 0, 0, 0, 20]","[0.3, 0.21065551204539407, 0.0, 0.061359980007873, 0.2920639322376615, 0.11955937868969606, 0.0]","[202, 238, 318, 247, 206, 242, 215]","[219.08358764648438, 250.24058532714844, 300.39117431640625, 251.8743133544922, 181.7816619873047, 181.56143188476562, 214.96975708007812]"
2013-07-12,2013-07-18,3303.0,9877,6395.0,"[20, 0, 5, 19, 8, 0, 4]","[0, 0, 5, 7, 10, 13, 0]","[0.01656594090599863, 0.3, 0.0, 0.0, 0.020330308947981122, 0.0, 0.0025363153071122978]","[238, 318, 247, 206, 242, 215, 220]","[242.3962860107422, 297.669189453125, 245.49349975585938, 181.84103393554688, 182.6994171142578, 212.94863891601562, 236.04417419433594]"
2013-07-13,2013-07-19,2795.0,10000,6175.0,"[2, 8, 4, 8, 9, 12, 5]","[2, 4, 6, 6, 8, 5, 6]","[0.05109751295627604, 0.08267072833099792, 0.0805495723143975, 0.205635591117945, 0.0832653619341937, 0.08395221662384142, 0.08528039192326804]","[318, 247, 206, 242, 215, 220, 230]","[298.5342712402344, 244.95986938476562, 173.90428161621094, 178.4168701171875, 216.24440002441406, 230.92019653320312, 247.85336303710938]"
2013-07-14,2013-07-20,3544.0,9911,6190.0,"[15, 19, 5, 7, 15, 11, 0]","[3, 0, 0, 0, 19, 0, 0]","[0.0, 0.0002713702397521846, 0.0033354733275934825, 0.0, 0.0, 0.0, 0.3]","[247, 206, 242, 215, 220, 230, 333]","[253.69100952148438, 177.21676635742188, 179.0179901123047, 219.96278381347656, 232.74807739257812, 254.11814880371094, 314.1534118652344]"
2013-07-15,2013-07-21,2811.0,9899,6605.0,"[12, 4, 2, 1, 3, 7, 2]","[15, 4, 7, 0, 12, 5, 12]","[0.0, 0.027118441717829452, 0.002317921954644532, 0.06512148124810717, 0.0, 0.0, 0.1694804060975037]","[206, 242, 215, 220, 230, 333, 261]","[179.25511169433594, 181.52320861816406, 217.40782165527344, 231.23875427246094, 256.9595947265625, 312.4667053222656, 239.76727294921875]"
2013-07-16,2013-07-22,3592.0,9928,6160.0,"[20, 0, 0, 20, 20, 0, 0]","[2, 8, 0, 6, 16, 0, 0]","[0.02950488926583868, 0.0, 0.2131217903712761, 0.0, 0.0, 0.13397491494699987, 0.0]","[242, 215, 220, 230, 333, 261, 225]","[194.94253540039062, 219.14768981933594, 238.15701293945312, 251.14361572265625, 317.3923034667969, 240.75518798828125, 201.4529266357422]"
2013-07-17,2013-07-23,3649.0,9996,6175.0,"[0, 20, 9, 19, 19, 10, 0]","[0, 10, 0, 7, 0, 1, 0]","[0.3, 0.0003358718111543001, 0.0, 0.0, 0.011212573293380977, 0.015758012818315743, 0.009281176424217361]","[215, 220, 230, 333, 261, 225, 221]","[226.0867156982422, 242.4477081298828, 260.82647705078125, 322.43194580078125, 244.29469299316406, 200.2726287841797, 202.4265594482422]"
2013-07-18,2013-07-24,3596.0,9894,6120.0,"[0, 2, 20, 20, 20, 0, 0]","[8, 0, 9, 9, 4, 0, 0]","[0.0, 0.0, 0.0007689353966680201, 0.00023083838000113614, 0.03044863127874859, 0.0031736854124631607, 0.11904594945875346]","[220, 230, 333, 261, 225, 221, 221]","[240.04820251464844, 258.7642517089844, 319.8724365234375, 245.8175811767578, 200.56875610351562, 203.34349060058594, 221.6602783203125]"
2013-07-19,2013-07-25,3523.0,9962,6265.0,"[9, 0, 20, 14, 18, 0, 11]","[1, 3, 6, 1, 6, 0, 5]","[0.0, 0.028763011861137305, 0.003698052882642058, 0.0, 0.0, 0.08343165114137863, 0.0]","[230, 333, 261, 225, 221, 221, 185]","[248.5146942138672, 315.00408935546875, 244.6280975341797, 201.1175537109375, 201.1725311279297, 220.0882568359375, 220.65855407714844]"
2013-07-20,2013-07-26,3203.0,9792,6280.0,"[0, 20, 8, 0, 14, 0, 19]","[12, 5, 0, 11, 0, 2, 0]","[0.0, 0.0, 0.06799143383832013, 0.06528775934497191, 0.037260942587567465, 0.01363780495064593, 0.02287271931282982]","[333, 261, 225, 221, 221, 185, 234]","[311.5546875, 250.0016632080078, 206.01034545898438, 172.08009338378906, 219.39727783203125, 215.673583984375, 230.52017211914062]"
2013-07-21,2013-07-27,3594.0,9911,6140.0,"[9, 20, 20, 0, 12, 0, 0]","[8, 10, 0, 10, 3, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0007013855436552516, 0.29733960677436316, 0.14783187161875722]","[261, 225, 221, 221, 185, 234, 319]","[248.95901489257812, 197.7153778076172, 199.61624145507812, 214.76718139648438, 218.1627655029297, 233.1262664794922, 305.0577087402344]"
2013-07-22,2013-07-28,3384.0,10028,6380.0,"[0, 20, 0, 1, 19, 2, 16]","[0, 3, 14, 0, 17, 0, 0]","[0.056206552137176624, 0.0, 0.0, 0.23008360504931302, 0.0, 0.24833159890939863, 0.0]","[225, 221, 221, 185, 234, 319, 185]","[201.96336364746094, 196.73373413085938, 220.03016662597656, 217.64590454101562, 231.18710327148438, 316.1787414550781, 260.76483154296875]"
2013-07-23,2013-07-29,2508.0,9718,5600.0,"[0, 0, 0, 20, 15, 0, 0]","[12, 4, 0, 6, 17, 0, 4]","[0.27653289841056855, 0.0, 0.3, 0.2178579791656051, 0.08957245589395209, 0.3, 0.0]","[221, 221, 185, 234, 319, 185, 185]","[209.1767120361328, 227.65957641601562, 228.4018096923828, 233.33213806152344, 310.8454895019531, 267.03448486328125, 186.68170166015625]"
2013-07-24,2013-07-30,3620.0,9860,6060.0,"[0, 20, 20, 13, 20, 0, 0]","[0, 0, 0, 11, 10, 0, 0]","[0.23904618682447626, 0.0, 0.00012806446844470149, 0.0, 0.0017317415943293064, 0.3, 0.2899284843665144]","[221, 185, 234, 319, 185, 185, 176]","[229.95367431640625, 222.9319610595703, 238.5750274658203, 311.03271484375, 241.38905334472656, 177.46820068359375, 178.67176818847656]"
2013-07-25,2013-07-31,3548.0,9843,6060.0,"[9, 20, 0, 20, 20, 4, 20]","[0, 0, 0, 2, 1, 0, 0]","[0.049536693818569816, 0.0, 0.22272503328027887, 0.0, 0.0, 0.0, 0.0]","[185, 234, 319, 185, 185, 176, 203]","[223.19097900390625, 234.1261749267578, 312.07373046875, 258.82501220703125, 184.39161682128906, 184.16978454589844, 183.73684692382812]"
2013-07-26,2013-08-01,4419.0,16557,10410.0,"[9, 9, 17, 3, 15, 13, 4]","[4, 18, 4, 9, 12, 14, 10]","[0.12199069574271669, 0.04722845038706536, 0.05230434774789877, 0.17554940784124648, 0.1822400459396862, 0.052280699245742746, 0.2514581054821499]","[234, 319, 185, 185, 176, 203, 239]","[223.01246643066406, 296.50787353515625, 250.7572021484375, 180.25918579101562, 175.0234375, 187.8565673828125, 223.88552856445312]"
2013-07-27,2013-08-02,3474.0,9911,6260.0,"[18, 6, 10, 0, 13, 0, 0]","[5, 0, 7, 17, 14, 0, 0]","[0.03460842178327263, 0.0, 0.011591737839710091, 0.0, 0.0, 0.0, 0.0]","[319, 185, 185, 176, 203, 239, 230]","[303.4230651855469, 254.44456481933594, 171.6781463623047, 180.2701873779297, 188.1897735595703, 225.34420776367188, 234.44302368164062]"
2013-07-28,2013-08-03,3307.0,9982,6365.0,"[9, 5, 9, 20, 6, 20, 0]","[13, 2, 0, 2, 0, 7, 0]","[0.0, 0.15014932774518414, 0.0037703082061513946, 0.0, 0.0, 0.0, 0.28964474305008825]","[185, 185, 176, 203, 239, 230, 303]","[250.47315979003906, 178.14642333984375, 167.24264526367188, 187.79481506347656, 224.93800354003906, 235.2461700439453, 321.82403564453125]"
2013-07-29,2013-08-04,4280.0,16957,10640.0,"[0, 9, 13, 6, 10, 9, 13]","[15, 7, 12, 12, 6, 18, 10]","[0.2475092252551051, 0.022288831702767218, 0.13704432257175206, 0.08838677654480066, 0.02326072640621808, 0.292584081368357, 0.05563127299992667]","[185, 176, 203, 239, 230, 303, 271]","[156.03485107421875, 171.87521362304688, 193.41824340820312, 224.47430419921875, 232.5638427734375, 320.36865234375, 214.99807739257812]"
2013-07-30,2013-08-05,3370.0,9955,6040.0,"[5, 19, 5, 20, 7, 12, 0]","[20, 0, 0, 3, 0, 0, 0]","[0.0, 0.07801007100147409, 0.0528273035531716, 0.0, 0.2553109145977157, 0.0, 0.2998946620619216]","[176, 203, 239, 230, 303, 271, 180]","[175.9963836669922, 192.61495971679688, 223.75729370117188, 234.4578857421875, 318.6548156738281, 217.3350830078125, 176.01329040527344]"
2013-07-31,2013-08-06,4122.0,16118,9560.0,"[8, 12, 3, 4, 16, 14, 13]","[18, 6, 11, 9, 3, 7, 7]","[0.03388912600178333, 0.18321014203021435, 0.26993633643908904, 0.03383533721391336, 0.29915350844220323, 0.24436528822860593, 0.07914018563190213]","[203, 239, 230, 303, 271, 180, 167]","[183.78570556640625, 230.52879333496094, 233.06752014160156, 319.6188049316406, 220.80413818359375, 175.4080352783203, 178.31353759765625]"
2013-08-01,2013-08-07,4401.0,15794,9780.0,"[8, 16, 1, 11, 19, 6, 3]","[16, 18, 6, 5, 2, 13, 9]","[0.16374173187507962, 0.008934583430064967, 0.11933262389695931, 0.2452547017792372, 0.1987352429821971, 0.06269021663019624, 0.026058003723405297]","[239, 230, 303, 271, 180, 167, 180]","[227.34625244140625, 232.5894317626953, 326.02838134765625, 220.19119262695312, 176.0327911376953, 182.45596313476562, 191.11183166503906]"
2013-08-02,2013-08-08,3025.0,9663,6415.0,"[1, 0, 20, 20, 9, 0, 0]","[0, 0, 13, 0, 19, 0, 9]","[0.2539514553938892, 0.29753647425291574, 0.009381718661714628, 0.0, 0.0, 0.0, 2.815159181309432e-05]","[230, 303, 271, 180, 167, 180, 203]","[233.08026123046875, 325.34088134765625, 219.03919982910156, 173.03970336914062, 185.28668212890625, 190.81451416015625, 214.73800659179688]"
2013-08-03,2013-08-09,3551.0,9894,6165.0,"[18, 0, 11, 20, 20, 0, 0]","[4, 0, 10, 3, 0, 0, 7]","[0.018685331645960604, 0.09114417779767094, 0.0, 0.0, 0.0026292421282893418, 0.08789710062065675, 0.0]","[303, 271, 180, 167, 180, 203, 235]","[321.7026672363281, 213.41098022460938, 174.94671630859375, 183.1869659423828, 188.82626342773438, 217.73101806640625, 262.7820129394531]"
2013-08-04,2013-08-10,3586.0,9981,6160.0,"[20, 16, 6, 20, 0, 0, 4]","[0, 7, 0, 0, 20, 0, 0]","[0.0, 0.0, 0.07486525961342393, 0.0, 0.0072012780036012905, 0.008154347966819851, 0.06924279097823675]","[271, 180, 167, 180, 203, 235, 307]","[218.57620239257812, 167.2821502685547, 186.81922912597656, 192.08462524414062, 216.76446533203125, 253.53176879882812, 303.88385009765625]"
2013-08-05,2013-08-11,2285.0,11431,7320.0,"[17, 11, 5, 0, 6, 4, 6]","[16, 0, 1, 5, 3, 13, 11]","[0.0860662463827734, 0.2728336570003072, 0.1672345504017931, 0.13157225751757567, 0.2069202809071923, 0.1585012537434371, 0.1401427635691834]","[180, 167, 180, 203, 235, 307, 240]","[183.00596618652344, 179.3979034423828, 191.1525421142578, 218.1070556640625, 256.1604309082031, 303.91510009765625, 236.03114318847656]"
2013-08-06,2013-08-12,3708.0,9962,6080.0,"[20, 16, 20, 16, 0, 0, 0]","[5, 0, 0, 17, 0, 0, 0]","[0.005565680195668266, 0.0, 0.0, 0.0, 0.0, 0.3, 0.05636708801085886]","[167, 180, 203, 235, 307, 240, 176]","[183.76214599609375, 192.68356323242188, 210.24209594726562, 263.3092346191406, 309.0935974121094, 245.51597595214844, 195.42141723632812]"
2013-08-07,2013-08-13,2918.0,9721,6105.0,"[14, 20, 0, 1, 10, 0, 0]","[16, 0, 3, 17, 3, 0, 3]","[0.023871711727362466, 0.0, 0.02552078876028326, 0.0, 0.2976331076540444, 0.3, 0.0]","[180, 203, 235, 307, 240, 176, 204]","[196.55029296875, 217.24156188964844, 260.41070556640625, 308.7255859375, 242.27716064453125, 197.04443359375, 188.4417724609375]"
2013-08-08,2013-08-14,3470.0,9852,6120.0,"[20, 20, 0, 2, 20, 0, 0]","[9, 1, 11, 0, 9, 0, 0]","[0.0, 0.0, 0.08686637642218387, 0.0, 0.0, 0.03245180305016057, 0.3]","[203, 235, 307, 240, 176, 204, 176]","[222.94595336914062, 256.4342956542969, 308.24322509765625, 244.67593383789062, 199.12193298339844, 197.39505004882812, 181.06016540527344]"
2013-08-09,2013-08-15,3584.0,9996,6240.0,"[20, 0, 20, 0, 20, 20, 4]","[0, 0, 12, 0, 0, 0, 0]","[0.0, 0.3, 0.0, 0.25762722780136615, 0.007881580096224985, 0.0, 0.014903276055404851]","[235, 307, 240, 176, 204, 176, 171]","[258.9269714355469, 309.3002624511719, 242.83721923828125, 198.10289001464844, 194.4713134765625, 177.22125244140625, 189.82131958007812]"
2013-08-10,2013-08-16,3524.0,9741,6030.0,"[20, 0, 20, 20, 20, 3, 2]","[0, 0, 10, 0, 1, 0, 0]","[0.0, 0.3, 0.0, 0.0, 0.014131492972227214, 0.0, 0.0]","[307, 240, 176, 204, 176, 171, 213]","[302.3577880859375, 241.71807861328125, 194.59442138671875, 193.38478088378906, 191.48507690429688, 191.9906768798828, 214.75587463378906]"
2013-08-11,2013-08-17,2567.0,9896,5980.0,"[6, 7, 4, 10, 4, 11, 10]","[2, 7, 10, 6, 1, 1, 5]","[0.18068011718045177, 0.017686567774335554, 0.173538180419465, 0.20434792799732232, 0.013752228657928965, 0.03139882772211742, 0.1859349160298488]","[240, 176, 204, 176, 171, 213, 312]","[242.28785705566406, 199.67044067382812, 188.71612548828125, 181.4456329345703, 185.55882263183594, 230.03147888183594, 311.1628723144531]"
2013-08-12,2013-08-18,3396.0,9979,6410.0,"[0, 0, 20, 6, 15, 19, 18]","[0, 9, 3, 5, 0, 0, 0]","[0.3, 0.0, 0.00012548856038819688, 0.0, 0.0007380466119436748, 0.0002569831918018935, 0.0]","[176, 204, 176, 171, 213, 312, 204]","[200.0286865234375, 192.87606811523438, 181.57310485839844, 184.00917053222656, 231.295166015625, 312.2353820800781, 246.1014862060547]"
2013-08-13,2013-08-19,3603.0,9998,6095.0,"[0, 12, 20, 19, 15, 0, 4]","[0, 11, 5, 1, 5, 0, 1]","[0.02764307545567157, 0.025445998030179474, 0.01599156817669549, 0.08213162527089234, 0.0, 0.3, 0.0]","[204, 176, 171, 213, 312, 204, 177]","[181.3638458251953, 182.00186157226562, 184.477294921875, 223.52859497070312, 309.8199768066406, 240.56613159179688, 123.81867218017578]"
2013-08-14,2013-08-20,3012.0,9741,5920.0,"[20, 0, 0, 19, 13, 2, 1]","[9, 8, 4, 9, 0, 0, 2]","[0.003970128259877748, 0.20333838089974907, 0.0, 0.0, 0.19840922036189118, 0.03334995787133058, 0.16772411103829782]","[176, 171, 213, 312, 204, 177, 154]","[188.32472229003906, 185.2822723388672, 229.97857666015625, 309.6358337402344, 244.6390380859375, 134.08946228027344, 170.14964294433594]"
