store,model,MAE,RMSE,NMAE
baltimore,XGBoost,25.352050270324813,60.313034762062,0.24771128705390902
lancaster,XGBoost,37.15733541834855,76.30675665822027,0.2976557489878534
philadelphia,XGBoost,57.77563442983391,153.84947664485077,0.24461501740672564
richmond,XGBoost,15.07805301016124,38.98889930756177,0.22806022676783008
