Dia,Previsao_Clientes,Juniores,Experts,Promocao
1,41.096245,8,0,0.30000000000000004
2,50.316265,0,8,0.0
3,81.82285,7,6,0.0
4,64.262314,6,4,0.0
5,42.330894,7,0,0.0
6,31.14663,0,0,0.0
7,32.89024,0,3,0.0
