Dia,Previsao_Clientes,Juniores,Experts,Promocao
1,76.32202,12,0,0.0
2,94.10212,17,0,0.0
3,168.75436,1,20,0.0
4,101.242645,16,0,0.0
5,71.87995,0,11,0.0
6,49.93275,0,0,0.0
7,37.961956,0,5,0.0
