Dia,Clientes,Atendidos,Juniores,Experts,Promocao,Lucro
1,76,76,2,10,0.0,920
2,94,91,0,13,0.0,1105
3,169,169,13,14,0.0,2125
4,101,101,11,5,0.0,1305
5,72,72,1,10,0.0,870
6,50,50,0,8,0.0,590
7,38,38,1,6,0.0,440
