start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,8985.0,25478,16360.0,"[20, 20, 3, 20, 17, 20, 20]","[0, 6, 20, 16, 20, 20, 20]","[0.0, 0.026069727076301917, 0.25358168488302135, 0.02082118543968279, 0.02755225738330939, 0.03149876164058574, 0.021822226083336074]","[156, 177, 192, 228, 249, 299, 217]","[160.38275146484375, 162.82830810546875, 158.95448303222656, 229.6181640625, 244.9892120361328, 347.9470520019531, 271.40618896484375]"
2013-07-02,2013-07-08,8812.0,26234,16880.0,"[7, 20, 20, 20, 20, 20, 20]","[20, 8, 19, 20, 20, 20, 0]","[0.3, 0.022458166915526424, 0.024254148085898937, 0.02416864084286457, 0.020285653848829664, 0.0, 0.0]","[177, 192, 228, 249, 299, 217, 155]","[179.64927673339844, 175.8409881591797, 227.21324157714844, 255.47506713867188, 359.47430419921875, 276.8428039550781, 158.83180236816406]"
2013-07-03,2013-07-09,8623.0,24826,16230.0,"[20, 14, 20, 20, 20, 0, 20]","[7, 20, 17, 20, 20, 20, 6]","[0.0, 0.0, 0.038976518865860295, 0.0, 0.17405516998138348, 0.0, 0.0]","[192, 228, 249, 299, 217, 155, 159]","[171.25770568847656, 224.9416961669922, 242.42056274414062, 363.597900390625, 299.6081848144531, 167.37692260742188, 163.05987548828125]"
2013-07-04,2013-07-10,7446.0,24578,17835.0,"[20, 20, 20, 20, 7, 20, 10]","[17, 20, 20, 20, 20, 9, 20]","[0.0, 0.0, 0.0, 0.028739059255840218, 0.0017845634609267508, 0.0, 0.0011213436365403934]","[228, 249, 299, 217, 155, 159, 165]","[240.23416137695312, 260.3684997558594, 369.4698486328125, 293.07952880859375, 185.12452697753906, 181.33929443359375, 200.92605590820312]"
2013-07-05,2013-07-11,7147.0,25006,16665.0,"[20, 20, 20, 20, 20, 20, 20]","[17, 20, 20, 7, 7, 9, 14]","[0.0316863735667913, 0.3, 0.0, 0.017713790761895703, 0.0, 0.0, 0.0]","[249, 299, 217, 155, 159, 165, 161]","[238.97244262695312, 334.7201232910156, 273.74090576171875, 169.29129028320312, 173.21603393554688, 188.1007843017578, 221.45721435546875]"
2013-07-06,2013-07-12,6353.0,22763,16315.0,"[20, 20, 0, 20, 2, 13, 20]","[20, 20, 20, 7, 20, 19, 16]","[0.0, 0.01711302296932656, 0.0, 0.03601271765698754, 0.0, 0.21639623783811235, 0.0]","[299, 217, 155, 159, 165, 161, 190]","[340.0386047363281, 277.47100830078125, 144.45306396484375, 171.56822204589844, 154.7468719482422, 211.66104125976562, 234.66571044921875]"
2013-07-07,2013-07-13,5927.0,22516,16275.0,"[20, 6, 20, 20, 20, 20, 20]","[20, 20, 6, 0, 14, 17, 20]","[0.0, 0.0, 0.0, 0.3, 0.0, 0.029677016811140728, 0.019090095720781918]","[217, 155, 159, 165, 161, 190, 254]","[265.698974609375, 176.2620391845703, 165.19432067871094, 182.05441284179688, 217.61825561523438, 237.31072998046875, 309.6499328613281]"
2013-07-08,2013-07-14,5287.0,23285,17170.0,"[20, 6, 8, 20, 19, 20, 17]","[6, 20, 20, 14, 20, 20, 20]","[0.0, 0.0, 0.015401745098673456, 0.02268580423253638, 0.0, 0.0, 0.3]","[155, 159, 165, 161, 190, 254, 197]","[163.78712463378906, 173.94070434570312, 187.6080322265625, 215.40260314941406, 228.8759765625, 310.4270935058594, 240.27798461914062]"
2013-07-09,2013-07-15,5851.0,21144,15790.0,"[9, 0, 12, 18, 20, 16, 7]","[16, 20, 20, 19, 20, 20, 12]","[0.018056279689740586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018095199485569403]","[159, 165, 161, 190, 254, 197, 164]","[170.30130004882812, 188.2760467529297, 214.9426727294922, 225.33489990234375, 301.5102233886719, 237.29331970214844, 129.77084350585938]"
2013-07-10,2013-07-16,6392.0,21896,15100.0,"[20, 20, 15, 20, 20, 5, 20]","[9, 14, 20, 20, 16, 13, 1]","[0.0, 0.030990793450637023, 0.0, 0.0, 0.022590031305905027, 0.03668151548770876, 0.3]","[165, 161, 190, 254, 197, 164, 192]","[181.1746063232422, 215.43276977539062, 227.85009765625, 306.733154296875, 232.5416259765625, 120.6377944946289, 164.9775848388672]"
